Date,Trap_Type,Trap_Number,Size_mm
10/5/2021,shrimp,1399-G,75
10/5/2021,shrimp,1399-G,67.5
10/5/2021,shrimp,1399-G,74
10/5/2021,shrimp,1399-G,78
10/5/2021,shrimp,1399-G,57
10/5/2021,shrimp,1399-G,66
10/5/2021,shrimp,1399-G,68
10/5/2021,shrimp,1399-G,65.5
10/5/2021,shrimp,133-P,76.5
10/5/2021,shrimp,133-P,72
4/19/2022,shrimp,1191-R,75
4/19/2022,shrimp,1191-R,78.5
4/19/2022,shrimp,1191-R,71.5
5/3/2022,shrimp,3090-P,41.5
5/3/2022,shrimp,3090-P,72
5/3/2022,shrimp,1379-P,68
5/3/2022,shrimp,1379-P,83
5/3/2022,shrimp,1379-P,84
5/3/2022,shrimp,1379-P,78.5
5/4/2022,shrimp,1379-P,71.5
5/4/2022,shrimp,1379-P,72
5/5/2022,fukui,1176-Y,76
5/17/2022,fukui,3153-P,46.5
5/17/2022,shrimp,3100-P,65
5/17/2022,shrimp,3085-P,73
5/17/2022,shrimp,3085-P,72.5
5/17/2022,shrimp,3085-P,75
5/18/2022,shrimp,3100-P,65
6/1/2022,shrimp,893-G,88
6/1/2022,shrimp,893-G,90
6/1/2022,shrimp,1191-R,83
6/2/2022,shrimp,3085-P,82
6/14/2022,fukui,3161-P,33
6/14/2022,minnow,1383-P,35
6/14/2022,shrimp,3085-P,70
6/14/2022,shrimp,3100-P,85
6/15/2022,minnow,1368-P,52
6/15/2022,shrimp,3100-P,83.5
6/16/2022,shrimp,3085-P,79
6/28/2022,shrimp,1379-P,91
6/28/2022,shrimp,3100-P,83
6/28/2022,shrimp,3100-P,67
6/28/2022,shrimp,3100-P,75
6/28/2022,shrimp,3100-P,73
6/28/2022,shrimp,3100-P,65
6/28/2022,shrimp,3085-P,63
6/29/2022,shrimp,1379-P,82
6/29/2022,shrimp,1379-P,80
6/29/2022,shrimp,876-G,66
6/29/2022,shrimp,3085-P,71
6/29/2022,shrimp,876-G,66
6/29/2022,shrimp,3101-P,70
6/29/2022,shrimp,876-G,72
6/29/2022,fukui,3158-P,72
6/30/2022,fukui,3158-P,50
6/30/2022,shrimp,876-G,85
6/30/2022,shrimp,3101-P,71
6/30/2022,shrimp,3101-P,69
6/30/2022,shrimp,3100-P,63
7/1/2022,shrimp,879-G,79
7/1/2022,shrimp,697-P,85
7/1/2022,shrimp,3085-P,74
7/1/2022,shrimp,3100-P,62
7/6/2022,shrimp,3174-P,81
7/6/2022,shrimp,3174-P,89.5
7/6/2022,shrimp,3174-P,37.5
7/6/2022,shrimp,3174-P,56
7/6/2022,shrimp,1151-P,79
7/20/2022,shrimp,1157-R,89
7/20/2022,shrimp,1157-R,70
7/20/2022,shrimp,3100-P,75
7/20/2022,shrimp,3100-P,82
7/20/2022,shrimp,3100-P,84
7/20/2022,shrimp,3100-P,72
7/22/2022,shrimp,893-G,65
7/22/2022,shrimp,697-P,81
7/22/2022,shrimp,879-G,87
7/22/2022,shrimp,879-G,89
7/26/2022,shrimp,879-G,68
7/26/2022,shrimp,879-G,44.5
7/26/2022,shrimp,879-G,65
7/26/2022,minnow,192-P,54
7/26/2022,shrimp,1166-R,83
7/27/2022,shrimp,879-G,60
7/27/2022,shrimp,879-G,56.5
7/27/2022,shrimp,879-G,93.5
7/27/2022,minnow,1398-G,43.5
8/3/2022,shrimp,3100-P,80
8/3/2022,shrimp,3100-P,79
8/3/2022,shrimp,3100-P,76
8/3/2022,shrimp,893-G,67
8/5/2022,shrimp,893-G,56
8/9/2022,shrimp,879-G,76
8/9/2022,shrimp,1157-R,78
8/9/2022,shrimp,1157-R,85
8/9/2022,shrimp,3174-P,70
8/9/2022,shrimp,3174-P,65
8/9/2022,shrimp,893-G,49.5
8/9/2022,shrimp,1379-P,73
8/10/2022,shrimp,876-G,77
8/10/2022,shrimp,876-G,58
8/10/2022,shrimp,1157-R,69
8/10/2022,shrimp,1157-R,72
8/11/2022,shrimp,1157-R,76
8/11/2022,shrimp,3101-P ,62.5
8/11/2022,shrimp,1166-R,78
8/12/2022,shrimp,3101-P ,72.5
8/12/2022,shrimp,3101-P ,85.5
8/12/2022,shrimp,3101-P ,52
8/12/2022,shrimp,3101-P ,60
8/19/2022,shrimp,893-G,88
8/19/2022,shrimp,3085-P,53
8/24/2022,shrimp,3102-P,77
8/24/2022,shrimp,876-G,72
8/25/2022,shrimp,3174-P,48
8/25/2022,shrimp,3174-P,75
9/7/2022,shrimp,3174-P,59
9/7/2022,shrimp,3101-P ,74
9/7/2022,shrimp,3100-P,76
9/7/2022,shrimp,3100-P,88.5
9/13/2022,shrimp,1166-R,84
9/13/2022,minnow,65-P,41
9/13/2022,shrimp,3102-P,32
9/20/2022,shrimp,879-G,86
9/20/2022,minnow,1387-P,33.5
9/20/2022,minnow,175-P,39
9/20/2022,minnow,1383-P,36
9/20/2022,minnow,163-P,35.5
9/20/2022,minnow,163-P,43.5
9/20/2022,shrimp,1379-P,39.5
9/20/2022,shrimp,1379-P,39.5
9/20/2022,shrimp,1379-P,78
9/20/2022,shrimp,1379-P,83
9/20/2022,shrimp,3085-P,42
9/20/2022,shrimp,3085-P,46
9/20/2022,shrimp,3085-P,38.5
9/20/2022,shrimp,3085-P,42.5
9/20/2022,shrimp,3085-P,75.5
9/20/2022,shrimp,3090-P,47
9/20/2022,shrimp,3090-P,39.5
9/20/2022,shrimp,1369-P,78
9/20/2022,shrimp,893-G,41
9/20/2022,shrimp,893-G,39
9/20/2022,shrimp,893-G,71
9/21/2022,minnow,138-P,41
9/21/2022,minnow,64-P,34
9/27/2022,shrimp,1379-P,82
9/27/2022,shrimp,1379-P,38
9/27/2022,shrimp,1379-P,40
9/27/2022,shrimp,1379-P,39
9/27/2022,shrimp,1379-P,86
9/27/2022,shrimp,1379-P,84
9/27/2022,shrimp,876-G,41
9/27/2022,minnow,30-P,31
9/27/2022,minnow,670-P,35
9/27/2022,minnow,670-P,40
9/27/2022,minnow,158-P,49
9/27/2022,minnow,158-P,37
9/27/2022,shrimp,3192-P,33
9/27/2022,shrimp,3192-P,36
9/27/2022,minnow,564-P,45
9/27/2022,minnow,564-P,44
9/27/2022,minnow,564-P,43
9/27/2022,minnow,564-P,42
9/27/2022,minnow,564-P,46
9/27/2022,minnow,564-P,46
9/28/2022,minnow,181-P,43
10/4/2022,shrimp,1157-R,85
10/4/2022,shrimp,1157-R,74
10/4/2022,shrimp,1157-R,40
10/4/2022,shrimp,1157-R,81
10/4/2022,shrimp,1157-R,43
10/4/2022,shrimp,1157-R,47
10/4/2022,shrimp,3101-P,47
10/4/2022,shrimp,3101-P,49
10/4/2022,shrimp,1166-R,42
10/4/2022,shrimp,1166-R,45
10/4/2022,shrimp,1166-R,44
10/4/2022,minnow,145-P,39
10/4/2022,minnow,145-P,42
10/4/2022,minnow,169-P,54
10/4/2022,minnow,188-P,37
10/4/2022,minnow,188-P,41
10/4/2022,minnow,188-P,49
10/4/2022,minnow,188-P,52
10/4/2022,minnow,188-P,50
10/4/2022,minnow,1387-P,37
10/4/2022,minnow,1387-P,45
10/4/2022,minnow,64-P,37
10/4/2022,minnow,1398-P,49
10/4/2022,minnow,177-P,45
10/4/2022,minnow,181-P,39
10/4/2022,shrimp,1191-R,47
10/4/2022,shrimp,1379-P,51
10/4/2022,minnow,643-P,49
10/4/2022,minnow,643-P,46
10/4/2022,minnow,643-P,47
10/5/2022,minnow,70-P,46.5
10/5/2022,minnow,85-P,45.5
10/5/2022,minnow,192-P,48
10/5/2022,minnow,1394-P,49
10/5/2022,minnow,175-P,46
10/5/2022,minnow,146-P,48
10/5/2022,shrimp,3090-P,46
10/5/2022,shrimp,1157-R,83
10/5/2022,shrimp,1157-R,73
10/5/2022,shrimp,1157-R,45
10/5/2022,shrimp,1157-R,39
10/5/2022,shrimp,1157-R,45
10/5/2022,shrimp,1166-R,91
10/5/2022,shrimp,1166-R,47.5
10/5/2022,shrimp,1166-R,41
10/5/2022,minnow,145-P,36
10/5/2022,minnow,64-P,40
10/5/2022,minnow,643-P,53
10/5/2022,minnow,177-P,37
10/5/2022,minnow,177-P,37
10/5/2022,minnow,177-P,43
10/6/2022,fukui,3172-P,39.5
10/6/2022,minnow,1367-P,42
10/6/2022,shrimp,3174-P,45.5
10/6/2022,shrimp,1166-R,86
10/6/2022,shrimp,1157-R,45.5
10/6/2022,shrimp,1157-R,63.5
10/6/2022,minnow,145-P,49.5
10/6/2022,shrimp,3101-P,44
10/6/2022,shrimp,879-G,79
10/6/2022,shrimp,3090-P,58
10/6/2022,minnow,1383-P,39.5
10/6/2022,minnow,643-P,40
10/6/2022,minnow,30-P,39.5
10/6/2022,minnow,682-P,32
10/7/2022,minnow,73-p,30
10/7/2022,fukui,3153-P,40.5
10/7/2022,fukui,3153-P,39
10/7/2022,minnow,3161-P,37.5
10/7/2022,fukui,3078-P,37
10/7/2022,fukui,1387-G,40
10/7/2022,fukui,3151-P,32
10/7/2022,minnow,663-P,47.5
10/7/2022,minnow,663-P,46
10/7/2022,minnow,663-P,45
10/7/2022,minnow,663-P,40.5
10/7/2022,minnow,663-P,40
10/7/2022,minnow,1396-P,45
10/7/2022,minnow,1396-P,37.5
10/7/2022,shrimp,3101-P,44.5
10/7/2022,shrimp,3101-P,81
10/7/2022,shrimp,1166-R,79.5
10/7/2022,shrimp,1166-R,68
10/7/2022,shrimp,3100-P,46
10/18/2022,shrimp,879-G,55
10/18/2022,shrimp,879-G,46
10/18/2022,shrimp,879-G,45
10/18/2022,shrimp,879-G,41
10/18/2022,shrimp,1191-R,50
10/21/2022,shrimp,3085-P,53
10/21/2022,shrimp,3085-P,45
10/21/2022,shrimp,3085-P,50
10/21/2022,shrimp,3085-P,48
10/21/2022,shrimp,3102-P,72
10/21/2022,shrimp,3102-P,84
11/3/2022,shrimp,876-G,81
11/3/2022,shrimp,3100-P,53
11/3/2022,shrimp,3100-P,53
11/3/2022,shrimp,3100-P,57.5
11/3/2022,shrimp,3100-P,41.5
11/3/2022,minnow,1378-P,44
11/3/2022,minnow,1378-P,53
11/3/2022,minnow,1378-P,44.5
11/3/2022,minnow,1378-P,42
11/3/2022,minnow,1367-P,47
11/3/2022,minnow,1368-P,46
11/3/2022,minnow,668-P,45
11/3/2022,minnow,643-P,43.5
11/3/2022,minnow,74-P,45
11/3/2022,shrimp,3192-P,44
11/3/2022,shrimp,3192-P,40
11/3/2022,shrimp,3192-P,61
11/3/2022,shrimp,3192-P,48
11/3/2022,minnow,626-P,50
11/3/2022,minnow,626-P,49.5
11/3/2022,fukui,3078-P,77
11/3/2022,fukui,3190-P,53.5
11/3/2022,minnow,145-P,41
11/3/2022,minnow,678-P,32
11/3/2022,minnow,678-P,40
11/3/2022,minnow,188-P,44
11/3/2022,minnow,174-P,47
11/3/2022,minnow,174-P,40.5
11/3/2022,fukui,3153-P,52
11/3/2022,fukui,3153-P,47.5
11/3/2022,minnow,691-P,43
11/3/2022,minnow,177-P,43.5
11/3/2022,minnow,177-P,41
11/3/2022,minnow,177-P,38
11/3/2022,minnow,177-P,30.5
11/3/2022,fukui,1387-G,55
11/3/2022,shrimp,3101-P,71
11/3/2022,shrimp,3101-P,40
11/3/2022,shrimp,3101-P,44.5
11/3/2022,shrimp,3101-P,48
11/3/2022,shrimp,3101-P,42
11/3/2022,shrimp,3101-P,38
11/3/2022,shrimp,3101-P,35.5
11/4/2022,shrimp,3101-P,49.5
11/4/2022,shrimp,3101-P,47.5
11/4/2022,shrimp,3101-P,54
11/4/2022,shrimp,3101-P,41.5
11/4/2022,fukui,3079-P,46
11/4/2022,minnow,169-P,49
11/4/2022,fukui,3157-P,49
11/4/2022,minnow,188-P,41.5
11/4/2022,minnow,174-P,44.5
11/4/2022,fukui,3151-P,36.5
11/4/2022,shrimp,3192-P,50
11/4/2022,shrimp,3192-P,49.5
11/4/2022,shrimp,3192-P,40
11/4/2022,minnow,1368-P,43
11/4/2022,minnow,1368-P,43
11/4/2022,minnow,658-P,38
11/4/2022,minnow,658-P,48
11/4/2022,minnow,684-P,40.5
4/25/2023,shrimp,2487,78
4/27/2023,shrimp,2486,47.5
4/28/2023,minnow,658-P,37
4/28/2023,shrimp,2486,43
4/28/2023,minnow,189-P,40
5/9/2023,fukui,3173-P,52
5/9/2023,shrimp,2468,59.5
5/9/2023,shrimp,2468,53
5/9/2023,shrimp,2468,49
5/9/2023,shrimp,2468,40
5/9/2023,shrimp,2468,53
5/9/2023,shrimp,2468,45
5/9/2023,minnow,692-P,46
5/9/2023,fukui,3079-P,56
5/10/2023,shrimp,2076,50
5/10/2023,shrimp,2484,56
5/10/2023,shrimp,821,55
5/10/2023,shrimp,2468,39
5/10/2023,shrimp,2468,93
5/10/2023,shrimp,2468,77
5/10/2023,shrimp,2468,87
5/11/2023,shrimp,2468,59
5/12/2023,shrimp,2484,49
5/12/2023,shrimp,2468,58
5/12/2023,shrimp,2468,48
5/12/2023,shrimp,2487,61
5/18/2023,shrimp,2487,58
5/18/2023,shrimp,2457,49.5
5/19/2023,shrimp,2457,43.5
5/19/2023,shrimp,2468,46
5/19/2023,shrimp,821,43.5
5/19/2023,shrimp,821,57
5/19/2023,shrimp,821,54
5/19/2023,shrimp,821,56
5/19/2023,shrimp,821,51.5
5/19/2023,shrimp,821,78
5/23/2023,shrimp,2486,54
5/23/2023,shrimp,2486,52
5/23/2023,shrimp,2486,46.5
5/23/2023,shrimp,2486,39.5
5/23/2023,minnow,70-P,47
5/23/2023,fukui,1139-Y,42
5/23/2023,fukui,1122-B,64
5/23/2023,minnow,130-P,44
5/23/2023,shrimp,2484,57.5
5/23/2023,shrimp,2484,86
5/23/2023,shrimp,2484,42
5/24/2023,shrimp,1886,60
5/24/2023,shrimp,1886,63
5/24/2023,shrimp,2486,60
5/25/2023,shrimp,2486,82
5/25/2023,shrimp,2432,56
5/25/2023,shrimp,2450,86
5/26/2023,shrimp,2432,37
5/26/2023,shrimp,2432,67
6/6/2023,shrimp,821,44.5
6/6/2023,shrimp,821,65
6/6/2023,shrimp,1886,67
6/6/2023,shrimp,1886,57.5
6/6/2023,shrimp,2432,56.5
6/6/2023,shrimp,2458,46
6/6/2023,shrimp,2450,60.5
6/6/2023,shrimp,1758,60.5
6/6/2023,shrimp,1758,61
6/7/2023,shrimp,2457,60.5
6/7/2023,shrimp,1886,48
6/7/2023,shrimp,1758,59
6/21/2023,fukui,3078-P,55
6/21/2023,fukui,505,50
6/21/2023,fukui,3157,64
6/21/2023,fukui,1126-B,83
6/21/2023,minnow,643-P,54
6/22/2023,shrimp,2466,64
6/22/2023,fukui,1189-Y,61
6/22/2023,shrimp,2076,53
6/22/2023,shrimp,2457,57
6/22/2023,shrimp,2457,73
6/22/2023,minnow,155-P,55
6/22/2023,shrimp,821,69
6/22/2023,shrimp,821,57
6/23/2023,shrimp,2466,59
6/23/2023,shrimp,2487,73
7/6/2023,shrimp,1758g,65
7/6/2023,shrimp,1758g,64
7/6/2023,shrimp,1758g,61
7/6/2023,shrimp,2486,47
7/6/2023,shrimp,2486,68
7/6/2023,minnow,160y,63
7/6/2023,minnow,160y,60
7/6/2023,shrimp,2468,60
7/6/2023,shrimp,2468,52
7/6/2023,shrimp,2468,85
7/7/2023,shrimp,1758g,59
7/7/2023,shrimp,1758g,60
7/7/2023,shrimp,2458g,51
7/7/2023,shrimp,2486,62
7/7/2023,shrimp,2468,64
7/7/2023,shrimp,2468,66
7/7/2023,shrimp,2455,52
7/7/2023,shrimp,2455,53
7/7/2023,shrimp,2484,64
7/7/2023,shrimp,2484,84
8/1/2023,shrimp,1758,75
8/1/2023,shrimp,2432g,65.5
8/3/2023,minnow,692p,29
8/3/2023,minnow,692p,33
8/4/2023,shrimp,2466,91
8/4/2023,shrimp,552,67
8/29/2023,shrimp,552,71
8/29/2023,shrimp,552,55
8/29/2023,shrimp,2455,68
8/29/2023,shrimp,2457,56
8/30/2023,shrimp,1828,69
8/30/2023,shrimp,2458,58
8/31/2023,shrimp,1828,63
9/26/2023,shrimp,348,71
9/26/2023,shrimp,348,74
9/27/2023,shrimp,1758,83
9/28/2023,minnow,163p,48
9/28/2023,shrimp,2450,63
9/28/2023,shrimp,2450,57
9/28/2023,shrimp,2487g,93
9/28/2023,shrimp,2487g,69
9/28/2023,shrimp,2487g,74
9/29/2023,shrimp,2487g,64
9/30/2023,shrimp,2450,70
10/24/2023,shrimp,2484,70
10/24/2023,shrimp,2484,80
10/24/2023,shrimp,2484,48
10/24/2023,shrimp,2484,59
10/24/2023,shrimp,2484,62
10/24/2023,shrimp,2484,70
10/24/2023,shrimp,605,67
10/25/2023,shrimp,2484,58
10/25/2023,shrimp,2484,55
10/25/2023,shrimp,2484,69
10/25/2023,shrimp,2484,70
10/25/2023,fukui,3114p,45
10/25/2023,shrimp,433,70
10/26/2023,minnow,36p,46
10/26/2023,shrimp,2484,74
10/26/2023,shrimp,2321,75
