Date,Trap_Type,Trap_Number
4/28/2021,minnow,185-Y
4/28/2021,minnow,158-P
4/28/2021,fukui,648-P
4/28/2021,minnow,668-P
4/28/2021,fukui,166-Y
4/28/2021,minnow,1320-G
4/28/2021,fukui,194-Y
4/28/2021,minnow,57-P
4/28/2021,fukui,115-Y
4/28/2021,minnow,1131-Y
4/28/2021,fukui,178-Y
4/28/2021,minnow,1404-R
4/28/2021,fukui,104-Y
4/28/2021,minnow,142-P
4/28/2021,fukui,184-Y
4/28/2021,minnow,1106-Y
4/28/2021,fukui,1156-Y
4/28/2021,minnow,1426-R
4/28/2021,fukui,1181-Y
4/28/2021,minnow,1178-B
4/28/2021,fukui,1100-Y
4/28/2021,minnow,141-P
4/28/2021,fukui,141-Y
4/28/2021,fukui,128-Y
4/28/2021,minnow,146-P
4/28/2021,fukui,176-Y
4/28/2021,minnow,184-P
4/28/2021,fukui,1172-Y
4/28/2021,minnow,1121-Y
4/28/2021,fukui,1175-Y
4/28/2021,minnow,1072-B
4/28/2021,fukui,148-Y
4/28/2021,minnow,182-Y
4/28/2021,fukui,1177-Y
4/28/2021,minnow,193-P
4/28/2021,fukui,145-Y
4/28/2021,minnow,192-P
4/28/2021,fukui,123-Y
4/28/2021,minnow,662-P
4/28/2021,fukui,121-Y
4/28/2021,minnow,157-P
4/28/2021,fukui,1190-Y
4/28/2021,minnow,35-P
4/28/2021,fukui,119-Y
4/28/2021,minnow,1399-G
4/28/2021,fukui,1167-Y
4/28/2021,minnow,1151-Y
4/28/2021,fukui,164-Y
4/28/2021,minnow,196-P
4/28/2021,fukui,1195-Y
4/28/2021,minnow,1107-Y
4/28/2021,fukui,1187-Y
4/28/2021,minnow,1154-Y
4/28/2021,fukui,1179-Y
4/28/2021,minnow,668-P
4/28/2021,fukui,1101-Y
4/28/2021,minnow,684-P
4/28/2021,minnow,168-P
4/28/2021,fukui,149-Y
4/28/2021,minnow,147-Y
4/28/2021,fukui,624-P
4/28/2021,minnow,678-P
4/28/2021,minnow,1084-Y
4/28/2021,fukui,187-Y
4/28/2021,fukui,1361-G
4/28/2021,minnow,1383-P
4/28/2021,fukui,133-Y
4/28/2021,minnow,174-P
4/28/2021,fukui,1188-Y
4/28/2021,fukui,177-Y
4/28/2021,minnow,630-P
4/28/2021,fukui,1194-Y
4/28/2021,minnow,172-P
4/28/2021,minnow,1092-Y
4/28/2021,fukui,581-P
4/28/2021,minnow,183-P
4/28/2021,fukui,22-P
4/28/2021,minnow,1378-P
4/28/2021,fukui,611-P
4/28/2021,minnow,1481-R
4/28/2021,fukui,572-P
4/28/2021,minnow,1351-G
4/28/2021,fukui,573-P
4/28/2021,minnow,1182-B
4/28/2021,fukui,1489-R
4/28/2021,minnow,1427-R
4/28/2021,fukui,1496-R
4/28/2021,minnow,1389-G
4/28/2021,fukui,1498-R
4/28/2021,minnow,1148-B
4/28/2021,fukui,1488-R
4/28/2021,minnow,658-P
4/28/2021,fukui,1461-R
4/29/2021,minnow,154-P
4/29/2021,fukui,618-P
4/29/2021,minnow,1081-Y
4/29/2021,fukui,23-P
4/29/2021,minnow,73-P
4/29/2021,fukui,644-P
4/29/2021,minnow,1343-G
4/29/2021,fukui,176-P
4/29/2021,fukui,690-P
4/29/2021,minnow,75-P
4/29/2021,fukui,602-P
4/29/2021,minnow,1423-R
4/29/2021,fukui,19-P
4/29/2021,minnow,1388-P
4/29/2021,minnow,161-P
4/29/2021,fukui,619-P
4/29/2021,minnow,1323-G
4/29/2021,fukui,570-P
4/29/2021,minnow,160-P
4/29/2021,fukui,621-P
4/29/2021,minnow,1119-Y
4/29/2021,fukui,609-Y
4/29/2021,fukui,20-P
4/29/2021,minnow,139-Y
4/29/2021,minnow,1400-P
4/29/2021,fukui,574-P
4/29/2021,fukui,12-P
4/29/2021,minnow,185-Y
4/29/2021,minnow,158-P
4/29/2021,fukui,648-P
4/28/2021,fukui,1179-Y
4/28/2021,minnow,668-P
4/28/2021,fukui,1101-Y
4/28/2021,minnow,684-P
4/28/2021,minnow,168-P
4/28/2021,fukui,149-Y
4/28/2021,minnow,147-Y
4/28/2021,fukui,624-P
4/28/2021,minnow,678-P
4/28/2021,minnow,1084-Y
4/28/2021,fukui,187-Y
4/28/2021,fukui,1361-G
4/28/2021,minnow,1383-P
4/28/2021,fukui,133-Y
4/28/2021,minnow,174-P
4/28/2021,fukui,1188-Y
4/28/2021,fukui,177-Y
4/28/2021,minnow,630-P
4/28/2021,fukui,1194-Y
4/28/2021,minnow,172-P
4/28/2021,minnow,668-P
4/28/2021,fukui,166-Y
4/28/2021,minnow,1320-G
4/28/2021,fukui,194-Y
4/28/2021,minnow,57-P
4/28/2021,fukui,115-Y
4/28/2021,minnow,1131-Y
4/28/2021,fukui,178-Y
4/28/2021,minnow,1404-R
4/28/2021,fukui,104-Y
4/28/2021,minnow,142-P
4/28/2021,fukui,184-Y
4/28/2021,minnow,1106-Y
4/28/2021,fukui,1156-Y
4/28/2021,minnow,1426-R
4/28/2021,fukui,1181-Y
4/28/2021,minnow,1178-B
4/28/2021,fukui,1100-Y
4/28/2021,minnow,141-P
4/28/2021,fukui,141-Y
4/29/2021,minnow,1121-Y
4/29/2021,fukui,148-Y
4/29/2021,minnow,146-P
4/29/2021,fukui,176-Y
4/29/2021,minnow,184-P
4/29/2021,fukui,128-Y
4/29/2021,fukui,1175-Y
4/29/2021,minnow,182-Y
4/29/2021,fukui,1190-Y
4/29/2021,minnow,1389-G
4/29/2021,fukui,1172-Y
4/29/2021,minnow,1072-B
4/29/2021,minnow,193-P
4/29/2021,fukui,1187-Y
4/29/2021,minnow,157-P
4/29/2021,fukui,1167-Y
4/29/2021,minnow,192-P
4/29/2021,fukui,1461-R
4/29/2021,minnow,183-P
4/29/2021,fukui,1489-R
4/29/2021,minnow,1092-Y
4/29/2021,fukui,1488-R
4/29/2021,minnow,1182-B
4/29/2021,fukui,1496-R
4/29/2021,minnow,658-P
4/29/2021,fukui,121-Y
4/29/2021,minnow,1481-R
4/29/2021,fukui,145-Y
4/29/2021,minnow,1378-P
4/29/2021,fukui,1195-Y
4/29/2021,minnow,662-P
4/29/2021,fukui,1498-R
4/29/2021,minnow,35-P
4/29/2021,fukui,119-Y
4/29/2021,minnow,1399-G
4/29/2021,fukui,123-Y
4/30/2021,minnow,668-P
4/30/2021,fukui,166-Y
4/30/2021,minnow,1320-G
4/30/2021,fukui,115-Y
4/30/2021,minnow,57-P
4/30/2021,fukui,178-Y
4/30/2021,minnow,1131-Y
4/30/2021,fukui,104-Y
4/30/2021,minnow,1404-R
4/30/2021,fukui,184-Y
4/30/2021,minnow,154-P
4/30/2021,fukui,618-P
4/30/2021,minnow,1081-Y
4/30/2021,fukui,23-P
4/30/2021,minnow,73-P
4/30/2021,fukui,644-P
4/30/2021,minnow,1343-G
4/30/2021,fukui,176-P
4/30/2021,fukui,690-P
4/30/2021,minnow,75-P
4/30/2021,fukui,602-P
4/30/2021,minnow,1423-R
4/30/2021,fukui,19-P
4/30/2021,minnow,1388-P
4/30/2021,minnow,161-P
4/30/2021,fukui,619-P
4/30/2021,minnow,1323-G
4/30/2021,fukui,570-P
4/30/2021,minnow,160-P
4/30/2021,fukui,621-P
4/30/2021,minnow,1119-Y
4/30/2021,fukui,609-Y
4/30/2021,fukui,20-P
4/30/2021,minnow,139-Y
4/30/2021,minnow,1400-P
4/30/2021,fukui,574-P
4/30/2021,fukui,12-P
4/30/2021,minnow,185-Y
4/30/2021,minnow,158-P
4/30/2021,fukui,648-P
5/11/2021,minnow,185-Y
5/11/2021,fukui,1496-R
5/11/2021,minnow,1423-R
5/11/2021,fukui,176-P
5/11/2021,minnow,1323-G
5/11/2021,fukui,624-P
5/11/2021,minnow,160-P
5/11/2021,fukui,119-Y
5/11/2021,fukui,1195-Y
5/11/2021,minnow,1072-B
5/11/2021,fukui,1167-Y
5/11/2021,minnow,161-P
5/11/2021,fukui,1179-Y
5/11/2021,minnow,158-P
5/11/2021,minnow,139-Y
5/11/2021,fukui,1361-G
5/11/2021,minnow,147-Y
5/11/2021,fukui,23-P
5/11/2021,minnow,172-P
5/11/2021,fukui,1190-Y
5/11/2021,minnow,1389-G
5/11/2021,fukui,128-Y
5/11/2021,fukui,133-Y
5/11/2021,minnow,1388-P
5/11/2021,minnow,75-P
5/11/2021,fukui,1101-Y
5/11/2021,fukui,187-Y
5/11/2021,minnow,1404-R
5/11/2021,minnow,684-P
5/11/2021,fukui,1172-Y
5/11/2021,fukui,619-P
5/11/2021,minnow,1119-Y
5/11/2021,fukui,1177-Y
5/11/2021,minnow,668-P
5/11/2021,fukui,644-P
5/11/2021,minnow,73-P
5/11/2021,fukui,115-Y
5/11/2021,minnow,168-P
5/11/2021,fukui,184-Y
5/11/2021,minnow,174-P
5/11/2021,fukui,166-Y
5/11/2021,minnow,1383-P
5/11/2021,fukui,178-Y
5/11/2021,minnow,1131-Y
5/11/2021,fukui,1461-R
5/11/2021,minnow,1343-G
5/11/2021,fukui,1489-R
5/11/2021,minnow,182-Y
5/11/2021,fukui,621-P
5/11/2021,minnow,193-P
5/11/2021,fukui,498-R
5/11/2021,minnow,1081-Y
5/11/2021,fukui,104-Y
5/11/2021,minnow,57-P
5/11/2021,fukui,1488-R
5/11/2021,minnow,1320-G
5/11/2021,fukui,12-P
5/11/2021,minnow,1400-P
5/11/2021,fukui,574-P
5/11/2021,minnow,154-P
5/11/2021,minnow,1107-Y
5/11/2021,fukui,148-Y
5/11/2021,minnow,1106-Y
5/11/2021,fukui,602-P
5/11/2021,minnow,658-P
5/11/2021,fukui,690-P
5/11/2021,minnow,141-P
5/11/2021,fukui,618-P
5/11/2021,minnow,1154-Y
5/11/2021,fukui,1175-Y
5/11/2021,minnow,1427-R
5/11/2021,fukui,609-P
5/11/2021,minnow,1351-G
5/11/2021,fukui,19-P
5/11/2021,minnow,196-P
5/11/2021,fukui,570-P
5/11/2021,minnow,1151-Y
5/11/2021,fukui,648-P
5/11/2021,minnow,1148-B
5/11/2021,fukui,20-P
5/12/2021,minnow,185-Y
5/12/2021,fukui,1496-R
5/12/2021,minnow,1423-R
5/12/2021,fukui,176-P
5/12/2021,minnow,1323-G
5/12/2021,fukui,624-P
5/12/2021,minnow,160-P
5/12/2021,fukui,119-Y
5/12/2021,fukui,1195-Y
5/12/2021,minnow,1072-B
5/12/2021,fukui,1167-Y
5/12/2021,minnow,161-P
5/12/2021,fukui,1179-Y
5/12/2021,minnow,158-P
5/12/2021,minnow,139-Y
5/12/2021,fukui,1361-G
5/12/2021,minnow,147-Y
5/12/2021,fukui,23-P
5/12/2021,minnow,172-P
5/12/2021,fukui,1190-Y
5/12/2021,minnow,1389-G
5/12/2021,fukui,128-Y
5/12/2021,fukui,133-Y
5/12/2021,minnow,1388-P
5/12/2021,minnow,75-P
5/12/2021,fukui,1101-Y
5/12/2021,fukui,187-Y
5/12/2021,minnow,1404-R
5/12/2021,minnow,684-P
5/12/2021,fukui,1172-Y
5/12/2021,minnow,1107-Y
5/12/2021,fukui,148-Y
5/12/2021,minnow,1106-Y
5/12/2021,fukui,602-P
5/12/2021,minnow,658-P
5/12/2021,fukui,690-P
5/12/2021,minnow,141-P
5/12/2021,fukui,618-P
5/12/2021,minnow,1154-Y
5/12/2021,fukui,1175-Y
5/12/2021,minnow,1427-R
5/12/2021,fukui,609-P
5/12/2021,minnow,1351-G
5/12/2021,fukui,19-P
5/12/2021,minnow,196-P
5/12/2021,fukui,570-P
5/12/2021,minnow,1151-Y
5/12/2021,fukui,648-P
5/12/2021,minnow,1148-B
5/12/2021,fukui,20-P
5/12/2021,fukui,619-P
5/12/2021,minnow,1119-Y
5/12/2021,fukui,1177-Y
5/12/2021,minnow,668-P
5/12/2021,fukui,644-P
5/12/2021,minnow,73-P
5/12/2021,fukui,115-Y
5/12/2021,minnow,168-P
5/12/2021,fukui,184-Y
5/12/2021,minnow,174-P
5/12/2021,fukui,166-Y
5/12/2021,minnow,1383-P
5/12/2021,fukui,178-Y
5/12/2021,minnow,1131-Y
5/12/2021,fukui,1461-R
5/12/2021,minnow,1343-G
5/12/2021,fukui,1489-R
5/12/2021,minnow,182-Y
5/12/2021,fukui,621-P
5/12/2021,minnow,193-P
5/12/2021,fukui,498-R
5/12/2021,minnow,1081-Y
5/12/2021,fukui,104-Y
5/12/2021,minnow,57-P
5/12/2021,fukui,1488-R
5/12/2021,minnow,1320-G
5/12/2021,fukui,12-P
5/12/2021,minnow,1400-P
5/12/2021,fukui,574-P
5/12/2021,minnow,154-P
5/12/2021,minnow,1182-B
5/12/2021,fukui,164-Y
5/12/2021,minnow,142-P
5/12/2021,fukui,177-Y
5/12/2021,fukui,141-Y
5/12/2021,fukui,194-Y
5/12/2021,minnow,184-Y
5/12/2021,minnow,1399-G
5/12/2021,minnow,1178-B
5/12/2021,fukui,1188-Y
5/13/2021,minnow,1131-Y
5/13/2021,fukui,574-P
5/13/2021,minnow,1343-G
5/13/2021,fukui,12-P
5/13/2021,minnow,168-P
5/13/2021,fukui,104-Y
5/13/2021,fukui,621-P
5/13/2021,minnow,174-P
