Assessment_Type,Date_Deployed,Date_Retrieved,StartTime_Deployed,EndTime_Deployed,StartTime_Retrieved,EndTime_Retrieved,Weather,Personnel,Management_Area,Waterbody,Site_ID,Site_Name,Site_Info,County,Trap_Effort,Trap_Type,Trap_Number,Trap_Info,Bait,Latitude,Longitude,Date_Checked,CAMA_Total,CAMA_Male,CAMA_Female,HEOR,LEAR,HENU,GAAC,CYAG,MEMA,PAHI,PAGR,COAS,OLMA,FLAT,PLST,BAAT,NASS,BROK,SAND,BUBB,ILOB,JELL,TECH,Other_Bycatch,Mortalities,Notes,Data_Source,TrackedChanges,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1429-R,C.P.11,Mackerel,48.988587,-122.754802,4/13/2021,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,-,WDFW,Changed the NASS total value from 1 to 0 - NG,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,688-P,C.P.12,Mackerel,48.988684,-122.75473,4/13/2021,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,-,WDFW,Changed the NASS total value from 0 to 1 - NG,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,121-Y,C.P.13,Mackerel,48.988711,-122.754834,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,183-P,C.P.14,Mackerel,48.988765,-122.754956,4/13/2021,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,1,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,1426-R,C.P.15,Mackerel,48.988894,-122.754407,4/13/2021,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1309-G,C.P.16,Mackerel,48.988841,-122.754293,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,1320-G,C.P.17,Mackerel,48.988774,-122.754242,4/13/2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,22-P,C.P.18,Mackerel,48.988708,-122.754084,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,174-P,C.P.19,Mackerel,48.988646,-122.754055,4/13/2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,611-P,C.P.20,Mackerel,48.988556,-122.754087,4/13/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,1178-B,C.P.21,Mackerel,48.988615,-122.753806,4/13/2021,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Trap was dropped before HEOR data was collected,WDFW,Marked HEOR as present - CB 12/22/2021,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1187-Y,C.P.22,Mackerel,48.988521,-122.753649,4/13/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1194-Y,C.P.23,Mackerel,48.989406,-122.754144,4/13/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,1131-Y,C.P.24,Mackerel,48.989454,-122.753868,4/13/2021,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,57-P,C.P.25,Mackerel,48.989484,-122.753725,4/13/2021,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1121-B,C.P.26,Mackerel,48.989564,-122.753291,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1311-G,C.P.27,Mackerel,48.989519,-122.753813,4/13/2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,678-P,C.P.28,Mackerel,48.989577,-122.754141,4/13/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Minnow,1389-G,C.P.29,Mackerel,48.988397,-122.754957,4/13/2021,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,90,0,OCIN-1,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,10:19,10:40,12:00,12:32,Sunny,"WDFW: Chelsey Buffington, Lindsey Parker, Nathan Goldschmidt; NWSC: Allie Simpson, Jonathan Hallenbeck",San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,120,Fukui,1124-B,C.P.30,Mackerel,48.988268,-122.754957,4/13/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,1151-Y,-,Mackerel,48.988396,-122.753502,4/13/2021,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,4,2,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,1408-R,-,Mackerel,48.988277,-122.753369,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,1399-G,-,Mackerel,48.988145,-122.753272,4/13/2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,1406-R,-,Mackerel,48.987883,-122.753041,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,7,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,160-P,-,Mackerel,48.98791,-122.753036,4/13/2021,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,7,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,1316-G,-,Mackerel,48.9878,-122.75286,4/13/2021,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,1107-Y,-,Mackerel,48.987716,-122.752707,4/13/2021,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,X,7,0,0,-,WDFW,Changed NASS value from 0 to 1 - NG,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,1314-G,-,Mackerel,48.987588,-122.752547,4/13/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,161-P,-,Mackerel,48.987455,-122.752406,4/13/2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,3,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,1141-B,-,Mackerel,48.987307,-122.752293,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,158-P,-,Mackerel,48.987097,-122.751997,4/13/2021,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,176-Y,-,Mackerel,48.98705,-122.752119,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,1323-G,-,Mackerel,48.986967,-122.752013,4/13/2021,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,Changed NASS value from 1 to 0 - NG,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,1436-R,-,Mackerel,48.987344,-122.7528,4/13/2021,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,1358-G,-,Mackerel,48.987765,-122.75254,4/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,196-P,-,Mackerel,48.987861,-122.752659,4/13/2021,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,1432-R,-,Mackerel,48.987994,-122.752761,4/13/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,1154-Y,-,Mackerel,48.988084,-122.752933,4/13/2021,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,3,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Fukui,871-R,-,Mackerel,48.988196,-122.753065,4/13/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/14/2021,10:55,11:20,10:20,11:10,Sunny,"WDFW: Kyle Selstead, Lennah Mohar, Ron Coleman; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,North,South of Pillars after C.P.22,Whatcom,40,Minnow,1388-P,-,Mackerel,48.988305,-122.753235,4/13/2021,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,2,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,12:39,13:00,13:30,13:52,Sunny,"WDFW: Chelsey Buffington, Kyle Selstead, Lennah Mohar, Lindsey Parker, Nathan Goldschmidt, Ron Coleman; NWSC Allie Simpson, Jonathan Hallenbeck; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core; Could cross Dakota Creek in xtratuffs at 12:30,Whatcom,80,Minnow,1383-P,C.DC.01,Mackerel,48.97244,-122.73162,4/13/2021,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,12:39,13:00,13:30,13:52,Sunny,"WDFW: Chelsey Buffington, Kyle Selstead, Lennah Mohar, Lindsey Parker, Nathan Goldschmidt, Ron Coleman; NWSC Allie Simpson, Jonathan Hallenbeck; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,80,Fukui,164-Y,C.DC.02,Mackerel,48.972464,-122.731907,4/13/2021,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-,WDFW,,,,,,,,,,,
Removal,4/12/2021,4/16/2021,12:39,13:00,13:30,13:52,Sunny,"WDFW: Chelsey Buffington, Kyle Selstead, Lennah Mohar, Lindsey Parker, Nathan Goldschmidt, Ron Coleman; NWSC Allie Simpson, Jonathan Hallenbeck; WSG: Emily Grason",San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,80,Minnow,658-P,C.DC.03,Mackerel,48.972655,-122.732068,4/13/2021,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,-,WDFW,,,,,,,,,,,
