WA_ID,WDFW_ID,WSG_ID,Other_ID,Type,Scientific_Name,Common_Name,Date_Observed,Date_Reported,Day,Month,Year,Management_Area,Waterbody,Site_ID,Site_Name,Site_Info,County,Latitude,Longitude,Accuracy,Sex,CW_mm,NW_mm,Limb_Status,Color,Eggs,Condition,Barnacles,YearClass_Estimation,Trap_Type,Trap_Number,Trap_Info,Bait,ReportingParty,ReportingParty_PhoneNumber,ReportingParty_Email,ConfirmingParty,Confirming_Evidence,PicturePath_Media,Genetics,Database_Recorder,Notes,Data_Source,TrackedChanges,,,
,DH.2021.0011,WASS.2021.0015,N/A,Crustacean,Carcinus maenas,European Green Crab,4/29/2021,4/29/2021,29,4,2021,San Juan Islands,Drayton Harbor,N/A,California Creek,Index; Mouth,Whatcom,48.962567,-122.734016,Actual,Female,60.5,N/A,Good,Red/Orange,No,Live,Yes,2019,Fukui,128-Y,I.CC.M.06,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0012,WASS.2021.0019,N/A,Crustacean,Carcinus maenas,European Green Crab,4/30/2021,4/30/2021,30,4,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,-,Whatcom,48.972535,-122.732088,Actual,Male,81,N/A,R1,Yellow,N/A,Live,Yes,2018/2019,Fukui,115-Y,-,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0013,WASS.2021.0020,N/A,Crustacean,Carcinus maenas,European Green Crab,4/30/2021,4/30/2021,30,4,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,-,Whatcom,48.97265,-122.732273,Actual,Female,68,N/A,"Ld3; R2,5; Rd4; Rr1",Red/Orange,No,Live - damaged marginal teeth,Yes,2019,Fukui,104-Y,-,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Marginal teeth damage effected size measurement,WDFW,,,,
,DH.2021.0014,WASS.2021.0021,N/A,Crustacean,Carcinus maenas,European Green Crab,4/30/2021,4/30/2021,30,4,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,-,Whatcom,48.972718,-122.732335,Actual,Female,45,N/A,Good,Light-Green,No,Live,No,2020,Minnow,1404-R,-,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0015,WASS.2021.0022,N/A,Crustacean,Carcinus maenas,European Green Crab,4/30/2021,4/30/2021,30,4,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,-,Whatcom,48.972741,-122.732391,Actual,Female,69.5,N/A,Rr2,Red/Orange,No,Live,Yes,2019,Fukui,184-Y,-,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0016,WASS.2021.0027,N/A,Crustacean,Carcinus maenas,European Green Crab,5/11/2021,5/11/2021,11,5,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988736,-122.75504,Actual,Male,45,N/A,Lr1,Yellow,N/A,Live,No,2020,Fukui,1195-Y,C.P.09,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0017,WASS.2021.0028,N/A,Crustacean,Carcinus maenas,European Green Crab,5/11/2021,5/11/2021,11,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.972787,-122.732185,Actual,Female,76,N/A,Good,Orange,No,Live,Yes,2019,Fukui,602-P,C.DC.04,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Mussel on ventral side,WDFW,,,,
,DH.2021.0018,WASS.2021.0029,N/A,Crustacean,Carcinus maenas,European Green Crab,5/11/2021,5/11/2021,11,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.972976,-122.732562,Actual,Male,55.5,N/A,Lr4; Rr1,Yellow,N/A,Live,No,2020,Fukui,690-P,C.DC.06,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0019,WASS.2021.0030,N/A,Crustacean,Carcinus maenas,European Green Crab,5/11/2021,5/11/2021,11,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.972976,-122.732562,Actual,Female,62,N/A,Good,Red/Orange,No,Live - damaged mandible,No,2019,Fukui,690-P,C.DC.06,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0020,WASS.2021.0031,N/A,Crustacean,Carcinus maenas,European Green Crab,5/11/2021,5/11/2021,11,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973525,-122.733689,Actual,Female,78,N/A,Good,Red/Orange,No,Live,Yes,2019,Fukui,609-P,C.DC.12,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0021,WASS.2021.0032,N/A,Crustacean,Carcinus maenas,European Green Crab,5/11/2021,5/11/2021,11,5,2021,San Juan Islands,Drayton Harbor,N/A,California Creek,Core,Whatcom,48.961808,-122.73338,Actual,Female,63,N/A,"L5; Ld2; R1,5; Rd2,3,4",Red/Orange,No,Live,No,2019,Fukui,619-P,C.CC.01,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0022,WASS.2021.0033,N/A,Crustacean,Carcinus maenas,European Green Crab,5/13/2021,5/13/2021,13,5,2021,San Juan Islands,Drayton Harbor,N/A,South,Hossacks property between Shintaffer Rd and Harborview Rd,Whatcom,48.961239,-122.756347,Actual,Male,57,N/A,Good,Green,N/A,Live,No,2020,Fukui,574-P,-,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0023,WASS.2021.0034,N/A,Crustacean,Carcinus maenas,European Green Crab,5/14/2021,5/14/2021,14,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.972787,-122.732185,Actual,Female,55,N/A,Good,Orange,No,Live,No,2020,Fukui,602-P,C.DC.04,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0024,WASS.2021.0035,N/A,Crustacean,Carcinus maenas,European Green Crab,5/14/2021,5/14/2021,14,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.972837,-122.732376,Actual,Male,49,N/A,Good,Yellow,N/A,Live,No,2020,Minnow,658-P,C.DC.05,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0025,WASS.2021.0036,N/A,Crustacean,Carcinus maenas,European Green Crab,5/14/2021,5/14/2021,14,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973038,-122.732754,Actual,Male,47,N/A,"Rd1,2",Yellow,N/A,Live,No,2020,Minnow,141-P,C.DC.07,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0026,WASS.2021.0037,N/A,Crustacean,Carcinus maenas,European Green Crab,5/14/2021,5/14/2021,14,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,-,Whatcom,48.973806,-122.737132,Actual,Female,71.5,N/A,"L3; Lr2; R3,4; Rr1",Red/Orange,No,Live,Yes,2019,Fukui,164-Y,-,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0027,WASS.2021.0043,N/A,Crustacean,Carcinus maenas,European Green Crab,5/25/2021,5/25/2021,25,5,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988841,-122.754293,Actual,Male,81,N/A,"L5; R1,4; Rd3",Yellow,N/A,Live,No,,Fukui,609-P,C.P.16,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,"Changed coordinates, previous coordinates were for Dakota, not Pillars - AS",,,
,DH.2021.0028,WASS.2021.0044,N/A,Crustacean,Carcinus maenas,European Green Crab,5/25/2021,5/25/2021,25,5,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988841,-122.754293,Actual,Male,79,N/A,Good,Yellow,N/A,Live,No,,Fukui,609-P,C.P.16,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,"Changed coordinates, previous coordinates were for Dakota, not Pillars - AS",,,
,DH.2021.0029,WASS.2021.0045,N/A,Crustacean,Carcinus maenas,European Green Crab,5/25/2021,5/25/2021,25,5,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988841,-122.754293,Actual,Male,56,N/A,L5; Rr1,Yellow,N/A,Live - damaged antenna,No,,Fukui,609-P,C.P.16,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,"Changed coordinates, previous coordinates were for Dakota, not Pillars - AS",,,
,DH.2021.0030,WASS.2021.0046,N/A,Crustacean,Carcinus maenas,European Green Crab,5/25/2021,5/25/2021,25,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97367,-122.734108,Actual,Female,46,N/A,Good,Red/Orange,No,Live,No,,Minnow,1323-G,C.DC.13,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Leg damage after capture,WDFW,,,,
,DH.2021.0031,WASS.2021.0047,N/A,Crustacean,Carcinus maenas,European Green Crab,5/25/2021,5/25/2021,25,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973679,-122.734071,Actual,Male,82,N/A,"R1,3",Yellow,N/A,Live,No,,Fukui,141-Y,C.DC.14,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0032,WASS.2021.0048,N/A,Crustacean,Carcinus maenas,European Green Crab,5/25/2021,5/25/2021,25,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97378,-122.734431,Actual,Female,52,N/A,Good,Red/Orange,No,Live,No,,Fukui,1489-R,C.DC.16,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0033,WASS.2021.0049,N/A,Crustacean,Carcinus maenas,European Green Crab,5/25/2021,5/25/2021,25,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97379,-122.734804,Actual,Male,66,N/A,Good,Yellow,N/A,Live,No,,Fukui,619-P,C.DC.18,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0034,WASS.2021.0050,N/A,Crustacean,Carcinus maenas,European Green Crab,5/26/2021,5/26/2021,26,5,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988841,-122.754293,Actual,Male,78,N/A,L1; R2,Orange,N/A,Live,Yes,,Fukui,609-P,C.P.16,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,"Changed coordinates, previous coordinates were for Dakota, not Pillars - AS",,,
,DH.2021.0035,WASS.2021.0051,N/A,Crustacean,Carcinus maenas,European Green Crab,5/27/2021,5/27/2021,27,5,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988521,-122.753649,Actual,Female,54,N/A,Good,Orange,No,Live,No,,Fukui,194-Y,C.P.22,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0036,WASS.2021.0052,N/A,Crustacean,Carcinus maenas,European Green Crab,5/27/2021,5/27/2021,27,5,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Index; Mouth,Whatcom,48.972405,-122.728691,Actual,Male,61,N/A,L1,Yellow,N/A,Live,No,,Fukui,581-P,I.DC.M.02,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0037,WASS.2021.0053,N/A,Crustacean,Carcinus maenas,European Green Crab,5/28/2021,5/28/2021,28,5,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988774,-122.754242,Actual,Male,46,N/A,Ld1; Lr2,Yellow,N/A,Live,No,,Minnow,1400-P,C.P.17,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0038,WASS.2021.0081,N/A,Crustacean,Carcinus maenas,European Green Crab,6/9/2021,6/9/2021,9,6,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988708,-122.754084,Actual,Female,64.5,N/A,Good,Green,No,Live,No,,Fukui,1489-R,C.P.18,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0039,WASS.2021.0082,N/A,Crustacean,Carcinus maenas,European Green Crab,6/9/2021,6/9/2021,9,6,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97314,-122.732941,Actual,Female,73,N/A,Good,Green,No,Live,No,,Fukui,1177-Y,C.DC.08,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0040,WASS.2021.0146,N/A,Crustacean,Carcinus maenas,European Green Crab,6/16/2021,6/16/2021,16,6,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973802,-122.735215,Actual,Female,71,N/A,Ld1; Rr1,Dark-Green,No,Live,No,,Fukui,104-Y,C.DC.20,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0041,WASS.2021.0147,N/A,Crustacean,Carcinus maenas,European Green Crab,6/16/2021,6/16/2021,16,6,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973802,-122.735215,Actual,Male,65,N/A,Ld1,Yellow,N/A,Live,No,,Fukui,104-Y,C.DC.20,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,No barnacles verified by photos as it was not on datasheet - AS,,,
,DH.2021.0042,WASS.2021.0148,N/A,Crustacean,Carcinus maenas,European Green Crab,6/23/2021,6/23/2021,23,6,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973679,-122.734071,Actual,Male,60,N/A,Lr1; Rr1,Yellow,N/A,Live,No,,Fukui,1187-Y,C.DC.14,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,Color verified by photos as it was not on datasheet - AS,,,
,DH.2021.0043,WASS.2021.0149,N/A,Crustacean,Carcinus maenas,European Green Crab,6/23/2021,6/23/2021,23,6,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97378,-122.734431,Actual,Female,50,N/A,Good,Dark-Green,No,Live,No,,Fukui,1181-Y,C.DC.16,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0044,WASS.2021.0150,N/A,Crustacean,Carcinus maenas,European Green Crab,6/23/2021,6/23/2021,23,6,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97379,-122.734804,Actual,Male,85,N/A,"Rd1,5",Yellow,N/A,Live,No,,Fukui,184-Y,C.DC.18,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
,DH.2021.0045,WASS.2021.0151,N/A,Crustacean,Carcinus maenas,European Green Crab,6/23/2021,6/23/2021,23,6,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973802,-122.735215,Actual,Male,80,N/A,Ld1; R2,Red/Orange,N/A,Live - Ld2 lesion,Yes,,Fukui,609-P,C.DC.20,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Epibionts,WDFW,,,,
,DH.2021.0046,WASS.2021.0152,N/A,Crustacean,Carcinus maenas,European Green Crab,6/23/2021,6/23/2021,23,6,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.973802,-122.735215,Actual,Male,84.5,N/A,R5,Yellow,N/A,Live,Yes,,Fukui,609-P,C.DC.20,Sardines,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Epibionts; Gills on left side exposed or foreign egg mass?,WDFW,,,,
,DH.2021.0047,WASS.2021.0153,N/A,Crustacean,Carcinus maenas,European Green Crab,6/29/2021,6/29/2021,29,6,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988806,-122.754227,Estimated,Male,81.5,N/A,"Ld1,3,4; Rd3,4",Red/Orange,N/A,Live,Yes,,Hand,N/A,-,N/A,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Epibionts,WDFW,,,,
,DH.2021.0048,WASS.2021.0154,N/A,Crustacean,Carcinus maenas,European Green Crab,6/30/2021,6/30/2021,30,6,2021,San Juan Islands,Drayton Harbor,N/A,Central,"Subtidal Survey; Subtidal 1; Furthest set to the east, nearing Dakota Creek",Whatcom,48.97269,-122.75078,Actual,Male,79.5,N/A,Good,Red/Orange,N/A,Live,Yes,,Shrimp,S.1.B,-,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Epibionts,WDFW,,,,
,DH.2021.0049,WASS.2021.0155,N/A,Crustacean,Carcinus maenas,European Green Crab,6/30/2021,6/30/2021,30,6,2021,San Juan Islands,Drayton Harbor,N/A,North,Core; Pillars,Whatcom,48.988711,-122.754834,Actual,Female,60,N/A,Ld1; Rd1,Red/Orange,No,Live,Yes,,Fukui,1195-Y,C.P.13,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Epibionts,WDFW,,,,
,DH.2021.0050,WASS.2021.0156,N/A,Crustacean,Carcinus maenas,European Green Crab,7/7/2021,7/7/2021,7,7,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97379,-122.734804,Actual,Male,85,N/A,"Ld1; R1,2; Rd3",Yellow,N/A,Live,Yes,,Fukui,1195-Y,C.DC.18,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,Epibionts,WDFW,,,,
,DH.2021.0051,WASS.2021.0157,N/A,Crustacean,Carcinus maenas,European Green Crab,7/9/2021,7/9/2021,9,7,2021,San Juan Islands,Drayton Harbor,N/A,Dakota Creek,Core,Whatcom,48.97379,-122.734804,Actual,Female,58,N/A,Good,Green,No,Live,No,,Fukui,1195-Y,C.DC.18,Mackerel,WDFW,888-WDFW-AIS,AIS@dfw.wa.gov,"Lindsey Parker, WDFW",Specimen,N/A,Given to WSG,Parker WDFW,-,WDFW,,,,
