Date,Trap_Type,Trap_Number,Size_mm
8/3/22,Shrimp,3100-P,80
8/3/22,Shrimp ,3100-P,79
8/3/22,Shrimp,3100-P,76
8/3/22,Shrimp ,893-G,67
8/5/22,Shrimp ,893-G,56
8/9/22,Shrimp,879-G,76
8/9/22,Shrimp,1157-R,78
8/9/22,Shrimp,1157-R,85
8/9/22,Shrimp,3174-P,70
8/9/22,Shrimp,3174-P,65
8/9/22,Shrimp,893-G,49.5
8/9/22,Shrimp,1379-P,73
8/10/22,Shrimp,876-G,77
8/10/22,Shrimp,876-G,58
8/10/22,Shrimp,1157-R,69
8/10/22,Shrimp,1157-R,72
8/11/22,Shrimp,1157-R,76
8/11/22,Shrimp,3101-P ,62.5
8/11/22,Shrimp,1166-R,78
8/12/22,Shrimp,3101-P ,72.5
8/12/22,Shrimp,3101-P ,85.5
8/12/22,Shrimp,3101-P ,52
8/12/22,Shrimp,3101-P ,60
8/19/22,Shrimp,893-G,88
8/19/22,Shrimp,3085-P,53
8/24/22,Shrimp,3102-P,77
8/24/22,Shrimp,876-G,72
8/25/22,Shrimp,3174-P,48
8/25/22,Shrimp,3174-P,75
9/7/22,Shrimp,3174-P,59
9/7/22,Shrimp,3101-P ,74
9/7/22,Shrimp,3100-P,76
9/7/22,Shrimp,3100-P,88.5
9/13/22,Shrimp,1166-R,84
9/13/22,Minnow,65-P,41
9/13/22,Shrimp,3102-P,32
9/20/22,Shrimp,879-G,86
9/20/22,Minnow,1387-P,33.5
9/20/22,Minnow,175-P,39
9/20/22,Minnow,1383-P,36
9/20/22,Minnow,163-P,35.5
9/20/22,Minnow,163-P,43.5
9/20/22,Shrimp,1379-P,39.5
9/20/22,Shrimp,1379-P,39.5
9/20/22,Shrimp,1379-P,78
9/20/22,Shrimp,1379-P,83
9/20/22,Shrimp,3085-P,42
9/20/22,Shrimp,3085-P,46
9/20/22,Shrimp,3085-P,38.5
9/20/22,Shrimp,3085-P,42.5
9/20/22,Shrimp,3085-P,75.5
9/20/22,Shrimp,3090-P,47
9/20/22,Shrimp,3090-P,39.5
9/20/22,Shrimp,1369-P,78
9/20/22,Shrimp,893-G,41
9/20/22,Shrimp,893-G,39
9/20/22,Shrimp,893-G,71
9/21/22,Minnow,138-P,41
9/21/22,Minnow,64-P,34
9/27/22,Shrimp,1379-P,82
9/27/22,Shrimp,1379-P,38
9/27/22,Shrimp,1379-P,40
9/27/22,Shrimp,1379-P,39
9/27/22,Shrimp,1379-P,86
9/27/22,Shrimp,1379-P,84
9/27/22,Shrimp,876-G,41
9/27/22,Minnow,30-P,31
9/27/22,Minnow,670-P,35
9/27/22,Minnow,670-P,40
9/27/22,Minnow,158-P,49
9/27/22,Minnow,158-P,37
9/27/22,Shrimp,3192-P,33
9/27/22,Shrimp,3192-P,36
9/27/22,Minnow,564-P,45
9/27/22,Minnow,564-P,44
9/27/22,Minnow,564-P,43
9/27/22,Minnow,564-P,42
9/27/22,Minnow,564-P,46
9/27/22,Minnow,564-P,46
9/28/22,Minnow,181-P,43
10/4/22,Shrimp,1157-R,85
10/4/22,Shrimp,1157-R,74
10/4/22,Shrimp,1157-R,40
10/4/22,Shrimp,1157-R,81
10/4/22,Shrimp,1157-R,43
10/4/22,Shrimp,1157-R,47
10/4/22,Shrimp,3101-P,47
10/4/22,Shrimp,3101-P,49
10/4/22,Shrimp,1166-R,42
10/4/22,Shrimp,1166-R,45
10/4/22,Shrimp,1166-R,44
10/4/22,Minnow,145-P,39
10/4/22,Minnow,145-P,42
10/4/22,Minnow,169-P,54
10/4/22,Minnow,188-P,37
10/4/22,Minnow,188-P,41
10/4/22,Minnow,188-P,49
10/4/22,Minnow,188-P,52
10/4/22,Minnow,188-P,50
10/4/22,Minnow,1387-P,37
10/4/22,Minnow,1387-P,45
10/4/22,Minnow,64-P,37
10/4/22,Minnow,1398-P,49
10/4/22,Minnow,177-P,45
10/4/22,Minnow,181-P,39
10/4/22,Shrimp,1191-R,47
10/4/22,Shrimp,1379-P,51
10/4/22,Minnow,643-P,49
10/4/22,Minnow,643-P,46
10/4/22,Minnow,643-P,47
10/5/22,Minnow,70-P,46.5
10/5/22,Minnow,85-P,45.5
10/5/22,Minnow,192-P,48
10/5/22,Minnow,1394-P,49
10/5/22,Minnow,175-P,46
10/5/22,Minnow,146-P,48
10/5/22,Shrimp,3090-P,46
10/5/22,Shrimp,1157-R,83
10/5/22,Shrimp,1157-R,73
10/5/22,Shrimp,1157-R,45
10/5/22,Shrimp,1157-R,39
10/5/22,Shrimp,1157-R,45
10/5/22,Shrimp,1166-R,91
10/5/22,Shrimp,1166-R,47.5
10/5/22,Shrimp,1166-R,41
10/5/22,Minnow,145-P,36
10/5/22,Minnow,64-P,40
10/5/22,Minnow,643-P,53
10/5/22,Minnow,177-P,37
10/5/22,Minnow,177-P,37
10/5/22,Minnow,177-P,43
10/6/22,Fukui,3172-P,39.5
10/6/22,Minnow,1367-P,42
10/6/22,Shrimp,3174-P,45.5
10/6/22,Shrimp,1166-R,86
10/6/22,Shrimp,1157-R,45.5
10/6/22,Shrimp,1157-R,63.5
10/6/22,Minnow,145-P,49.5
10/6/22,Shrimp,3101-P,44
10/6/22,Shrimp,879-G,79
10/6/22,Shrimp,3090-P,58
10/6/22,Minnow,1383-P,39.5
10/6/22,Minnow,643-P,40
10/6/22,Minnow,30-P,39.5
10/6/22,Minnow,682-P,32
10/7/22,Minnow,73-p,30
10/7/22,Fukui,3153-P,40.5
10/7/22,Fukui,3153-P,39
10/7/22,Minnow,3161-P,37.5
10/7/22,Fukui,3078-P,37
10/7/22,Fukui,1387-G,40
10/7/22,Fukui,3151-P,32
10/7/22,Minnow,663-P,47.5
10/7/22,Minnow,663-P,46
10/7/22,Minnow,663-P,45
10/7/22,Minnow,663-P,40.5
10/7/22,Minnow,663-P,40
10/7/22,Minnow,1396-P,45
10/7/22,Minnow,1396-P,37.5
10/7/22,Shrimp,3101-P,44.5
10/7/22,Shrimp,3101-P,81
10/7/22,Shrimp,1166-R,79.5
10/7/22,Shrimp,1166-R,68
10/7/22,Shrimp,3100-P,46
10/18/22,Shrimp,879-G,55
10/18/22,Shrimp,879-G,46
10/18/22,Shrimp,879-G,45
10/18/22,Shrimp,879-G,41
10/18/22,Shrimp,1191-R,50
10/21/22,Shrimp,3085-P,53
10/21/22,Shrimp,3085-P,45
10/21/22,Shrimp,3085-P,50
10/21/22,Shrimp,3085-P,48
10/21/22,Shrimp,3102-P,72
10/21/22,Shrimp,3102-P,84
11/3/22,Shrimp,876-G,81
11/3/22,Shrimp,3100-P,53
11/3/22,Shrimp,3100-P,53
11/3/22,Shrimp,3100-P,57.5
11/3/22,Shrimp,3100-P,41.5
11/3/22,Minnow,1378-P,44
11/3/22,Minnow,1378-P,53
11/3/22,Minnow,1378-P,44.5
11/3/22,Minnow,1378-P,42
11/3/22,Minnow,1367-P,47
11/3/22,Minnow,1368-P,46
11/3/22,Minnow,668-P,45
11/3/22,Minnow,643-P,43.5
11/3/22,Minnow,74-P,45
11/3/22,Shrimp,3192-P,44
11/3/22,Shrimp,3192-P,40
11/3/22,Shrimp,3192-P,61
11/3/22,Shrimp,3192-P,48
11/3/22,Minnow,626-P,50
11/3/22,Minnow,626-P,49.5
11/3/22,Fukui,3078-P,77
11/3/22,Fukui,3190-P,53.5
11/3/22,Minnow,145-P,41
11/3/22,Minnow,678-P,32
11/3/22,Minnow,678-P,40
11/3/22,Minnow,188-P,44
11/3/22,Minnow,174-P,47
11/3/22,Minnow,174-P,40.5
11/3/22,Fukui,3153-P,52
11/3/22,Fukui,3153-P,47.5
11/3/22,Minnow,691-P,43
11/3/22,Minnow,177-P,43.5
11/3/22,Minnow,177-P,41
11/3/22,Minnow,177-P,38
11/3/22,Minnow,177-P,30.5
11/3/22,Fukui,1387-G,55
11/3/22,Shrimp,3101-P,71
11/3/22,Shrimp,3101-P,40
11/3/22,Shrimp,3101-P,44.5
11/3/22,Shrimp,3101-P,48
11/3/22,Shrimp,3101-P,42
11/3/22,Shrimp,3101-P,38
11/3/22,Shrimp,3101-P,35.5
11/4/22,Shrimp,3101-P,49.5
11/4/22,Shrimp,3101-P,47.5
11/4/22,Shrimp,3101-P,54
11/4/22,Shrimp,3101-P,41.5
11/4/22,Fukui,3079-P,46
11/4/22,Minnow,169-P,49
11/4/22,Fukui,3157-P,49
11/4/22,Minnow,188-P,41.5
11/4/22,Minnow,174-P,44.5
11/4/22,Fukui,3151-P,36.5
11/4/22,Shrimp,3192-P,50
11/4/22,Shrimp,3192-P,49.5
11/4/22,Shrimp,3192-P,40
11/4/22,Minnow,1368-P,43
11/4/22,Minnow,1368-P,43
11/4/22,Minnow,658-P,38
11/4/22,Minnow,658-P,48
11/4/22,Minnow,684-P,40.5
2/14/23,Hand,N/A,88.5
2/14/23,Hand,N/A,86
2/14/23,Hand,N/A,83
2/14/23,Hand,N/A,80
2/14/23,Hand,N/A,56
2/14/23,Hand,N/A,55
2/14/23,Hand,N/A,52
2/14/23,Hand,N/A,49
2/14/23,Hand,N/A,46
2/14/23,Hand,N/A,44
2/14/23,Hand,N/A,40
2/14/23,Hand,N/A,38
2/14/23,Hand,N/A,44
3/14/23,Hand,N/A,81
3/14/23,Hand,N/A,55
4/9/23,Hand,N/A,85
4/25/23,Shrimp,2487,78
4/27/23,Shrimp,2486,47.5
4/28/23,Minnow,658-P,37
4/28/23,Shrimp,2486,43
4/28/23,Minnow,189-P,40
5/9/23,Fukui,3173-P,52
5/9/23,Shrimp,2468,59.5
5/9/23,Shrimp,2468,53
5/9/23,Shrimp,2468,49
5/9/23,Shrimp,2468,40
5/9/23,Shrimp,2468,53
5/9/23,Shrimp,2468,45
5/9/23,Minnow,692-P,46
5/9/23,Fukui,3079-P,56
5/10/23,Shrimp,2076,50
5/10/23,Shrimp,2484,56
5/10/23,Shrimp,821,55
5/10/23,Shrimp,2468,39
5/10/23,Shrimp,2468,93
5/10/23,Shrimp,2468,77
5/10/23,Shrimp,2468,87
5/11/23,Shrimp,2468,59
5/12/23,Shrimp,2484,49
5/12/23,Shrimp,2468,58
5/12/23,Shrimp,2468,48
5/12/23,Shrimp,2487,61
5/18/23,Shrimp,2487,58
5/18/23,Shrimp,2457,49.5
5/19/23,Shrimp,2457,43.5
5/19/23,Shrimp,2468,46
5/19/23,Shrimp,821,43.5
5/19/23,Shrimp,821,57
5/19/23,Shrimp,821,54
5/19/23,Shrimp,821,56
5/19/23,Shrimp,821,51.5
5/19/23,Shrimp,821,78
5/23/23,Shrimp,2486,54
5/23/23,Shrimp,2486,52
5/23/23,Shrimp,2486,46.5
5/23/23,Shrimp,2486,39.5
5/23/23,Minnow,70-P,47
5/23/23,Fukui,1139-Y,42
5/23/23,Fukui,1122-B,64
5/23/23,Minnow,130-P,44
5/23/23,Shrimp,2484,57.5
5/23/23,Shrimp,2484,86
5/23/23,Shrimp,2484,42
5/24/23,Shrimp,1886,60
5/24/23,Shrimp,1886,63
5/24/23,Shrimp,2486,60
5/25/23,Shrimp,2486,82
5/25/23,Hand,N/A,76
5/25/23,Shrimp,2432,56
5/25/23,Shrimp,2450,86
5/26/23,Shrimp,2432,37
5/26/23,Shrimp,2432,67
6/6/23,Shrimp,821,44.5
6/6/23,Shrimp,821,65
6/6/23,Shrimp,1886,67
6/6/23,Shrimp,1886,57.5
6/6/23,Shrimp,2432,56.5
6/6/23,Shrimp,2458,46
6/6/23,Shrimp,2450,60.5
6/6/23,Shrimp,1758,60.5
6/6/23,Shrimp,1758,61
6/7/23,Shrimp,2457,60.5
6/7/23,Shrimp,1886,48
6/7/23,Shrimp,1758,59
6/21/23,Fukui,3078-P,55
6/21/23,Fukui,505,50
6/21/23,Fukui,3157,64
6/21/23,Fukui,1126-B,83
6/21/23,Minnow,643-P,54
6/22/23,Shrimp,2466,64
6/22/23,Fukui,1189-Y,61
6/22/23,Shrimp,2076,53
6/22/23,Shrimp,2457,57
6/22/23,Shrimp,2457,73
6/22/23,Minnow,155-P,55
6/22/23,Shrimp,821,69
6/22/23,Shrimp,821,57
6/23/23,Shrimp,2466,59
6/23/23,Shrimp,2487,73
7/6/23,Shrimp,1758g,65
7/6/23,Shrimp,1758g,64
7/6/23,Shrimp,1758g,61
7/6/23,Shrimp,2486,47
7/6/23,Shrimp,2486,68
7/6/23,Minnow,160y,63
7/6/23,Minnow,160y,60
7/6/23,Shrimp,2468,60
7/6/23,Shrimp,2468,52
7/6/23,Shrimp,2468,85
7/7/23,Shrimp,1758g,59
7/7/23,Shrimp,1758g,60
7/7/23,Shrimp,2458g,51
7/7/23,Shrimp,2486,62
7/7/23,Shrimp,2468,64
7/7/23,Shrimp,2468,66
7/7/23,Shrimp,2455,52
7/7/23,Shrimp,2455,53
7/7/23,Shrimp,2484,64
7/7/23,Shrimp,2484,84
8/1/23,Shrimp,1758,75
8/1/23,Shrimp,2432g,65.5
8/3/23,Minnow,692p,29
8/3/23,Minnow,692p,33
8/4/23,Shrimp,2466,91
8/4/23,Shrimp,552,67
8/29/23,Shrimp,552,71
8/29/23,Shrimp,552,55
8/29/23,Shrimp,2455,68
8/29/23,Shrimp,2457,56
8/30/23,Shrimp,1828,69
8/30/23,Shrimp,2458,58
8/31/23,Shrimp,1828,63
9/26/23,Shrimp,348,71
9/26/23,Shrimp,348,74
9/27/23,Shrimp,1758,83
9/28/23,Minnow,163p,48
9/28/23,Shrimp,2450,63
9/28/23,Shrimp,2450,57
9/28/23,Shrimp,2487g,93
9/28/23,Shrimp,2487g,69
9/28/23,Shrimp,2487g,74
9/29/23,Shrimp,2487g,64
9/30/23,Shrimp,2450,70
10/24/23,Shrimp,2484,70
10/24/23,Shrimp,2484,80
10/24/23,Shrimp,2484,48
10/24/23,Shrimp,2484,59
10/24/23,Shrimp,2484,62
10/24/23,Shrimp,2484,70
10/24/23,Shrimp,605,67
10/25/23,Shrimp,2484,58
10/25/23,Shrimp,2484,55
10/25/23,Shrimp,2484,69
10/25/23,Shrimp,2484,70
10/25/23,Fukui,3114p,45
10/25/23,Shrimp,433,70
10/26/23,Minnow,36p,46
10/26/23,Shrimp,2484,74
10/26/23,Shrimp,2321,75
